location,review,name,user_profile,userloc,rating
Udham-Singh-Nagar-District,Work takes me to rudrapur very often and i am always open to experimenting. I fone thia hotel to be  a clean and decent hotel. The sorroundings are also very clean and the people are warm and very honest to deal with.,Alok S,/Profile/aloks961,"Mumbai, India",40
Udham-Singh-Nagar-District,"Not a very known place the hotel is decent and good for the price.Its USP is its economical pricing , good clean rooms and good food and service. The location though is a bit of dampener. Overall a very good place to stay.",Sureka S,/Profile/SurekaS11,,40
Udham-Singh-Nagar-District,"This is the best hotel. I just love this hotel. The facilities, and the service, all are good here. I would recommend this Hotel to everyone visiting here. This is the best hotel i had ever visited. I would like to visit again",Anurag Das,/Profile/ANURAGD198,,50
