location,review,name,user_profile,userloc,rating
pauri-garhwal,"Perfect location for nature lovers, well maintained, nice staffs and great food overall it was a perfect stay, enjoyed very much during our stay. Management should be more responsible and professional.",Ashvani,/Profile/Ashvani123,,50
pauri-garhwal,"The Nature Inn one of the most popular campsite, everything was very nice and beautiful, staff was very hospitalised and polite,   The Nature Inn best camp in rishikesh, Thanks to team The Nature Inn. Thanks",Rohit Sethi,/Profile/Rohittravl1,"Daman and Diu, India",50
pauri-garhwal,"We booked our stay with Goibibo and we get good Deal, very valuable deal, Camp location was awesome, very impressive campsites, food was excellent.   Thanks to Team The Nature  Inn, we will visit again very soon, ",Anshika67,/Profile/Anshika67,"Gujarat, India",50
